"Wed Jan 11 01:30:26 2017" 82006.00
"Wed Jan 11 01:30:56 2017" 82006.00
"Wed Jan 11 01:31:26 2017" 82006.00
"Wed Jan 11 01:31:56 2017" 82006.00
"Wed Jan 11 01:32:26 2017" 82006.00
"Wed Jan 11 01:32:56 2017" 82006.00
"Wed Jan 11 01:33:26 2017" 82006.00
"Wed Jan 11 01:33:56 2017" 82006.00
"Wed Jan 11 01:34:26 2017" 82006.00
"Wed Jan 11 01:34:56 2017" 82006.00
"Wed Jan 11 01:35:26 2017" 82006.00
"Wed Jan 11 01:35:56 2017" 82006.00
"Wed Jan 11 01:36:26 2017" 82006.00
"Wed Jan 11 01:36:56 2017" 82006.00
"Wed Jan 11 01:37:26 2017" 82006.00
"Wed Jan 11 01:37:56 2017" 82006.00
"Wed Jan 11 01:38:26 2017" 82006.00
"Wed Jan 11 01:38:56 2017" 82006.00
"Wed Jan 11 01:39:26 2017" 82006.00
"Wed Jan 11 01:39:56 2017" 82006.00
"Wed Jan 11 01:40:26 2017" 82006.00
"Wed Jan 11 01:40:56 2017" 82006.00
"Wed Jan 11 01:41:26 2017" 82006.00
"Wed Jan 11 01:41:56 2017" 82006.00
"Wed Jan 11 01:42:26 2017" 82006.00
"Wed Jan 11 01:42:56 2017" 82006.00
"Wed Jan 11 01:43:26 2017" 82006.00
"Wed Jan 11 01:43:56 2017" 82006.00
"Wed Jan 11 01:44:26 2017" 82006.00
"Wed Jan 11 01:44:56 2017" 82006.00
"Wed Jan 11 01:45:26 2017" 82006.00
"Wed Jan 11 01:45:56 2017" 82006.00
"Wed Jan 11 01:46:26 2017" 82006.00
"Wed Jan 11 01:46:56 2017" 82006.00
"Wed Jan 11 01:47:26 2017" 82006.00
"Wed Jan 11 01:47:56 2017" 82006.00
"Wed Jan 11 01:48:26 2017" 82006.00
"Wed Jan 11 01:48:56 2017" 82006.00
"Wed Jan 11 01:49:26 2017" 82006.00
"Wed Jan 11 01:49:56 2017" 82006.00
"Wed Jan 11 01:50:26 2017" 82006.00
"Wed Jan 11 01:50:56 2017" 82006.00
"Wed Jan 11 01:51:26 2017" 82006.00
"Wed Jan 11 01:51:56 2017" 82006.00
"Wed Jan 11 01:52:26 2017" 82006.00
"Wed Jan 11 01:52:56 2017" 82006.00
"Wed Jan 11 01:53:26 2017" 82006.00
"Wed Jan 11 01:53:56 2017" 82006.00
"Wed Jan 11 01:54:26 2017" 82006.00
"Wed Jan 11 01:54:56 2017" 82006.00
"Wed Jan 11 01:55:26 2017" 82006.00
"Wed Jan 11 01:55:56 2017" 82006.00
